ISO3;Land;Jahr;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);Gesamtschadstoffe (ug/m3);Erkrankungen des Kreislaufsystems (Todesfalle pro 100.000);Erkrankungen der Atemwege (Todesfalle pro 100.000);Krebs der Atemwege (Todesfalle pro 100.000);Todesfalle insgesamt (pro 100.000);Fossiler_Energieerzeugung (TWh);nukleare_Energieerzeugung (TWh);Erneuerbare_Energieerzeugung (TWh);Erneuerbare + nukleare_Energieerzeugung (TWh)
NLD;Netherlands;2014;13,53;20,95;23,09;57,57;127,21;5,16;16,91;149,28;87;4;12;16
NLD;Netherlands;2015;12,54;19,17;21,69;53,4;128,83;6,05;16,13;151,01;92;4;14;18
NLD;Netherlands;2016;10,84;18,03;22,4;51,27;123,52;6,38;15,49;145,39;96;4;15;19
NLD;Netherlands;2017;11,09;18,81;21,72;51,62;118,71;6,03;14,78;139,52;96;3;17;20
NLD;Netherlands;2018;12,34;20,06;20,96;53,36;109,94;6,26;13,9;130,1;92;4;19;23
NLD;Netherlands;2019;10,91;18,39;19,66;48,96;99,17;5,76;12,75;117,68;95;4;23;27
NOR;Norway;2010;10,55;20,74;30,13;61,42;151,82;5,38;13,13;170,33;4;0;140;140
NOR;Norway;2011;9,93;20,54;30,11;60,58;146,96;6,27;12,22;165,45;3;0;142;142
NOR;Norway;2012;9,31;20,35;30,2;59,86;146,23;5,42;10,99;162,64;3;0;144;144
NOR;Norway;2013;8,92;20,7;30,37;59,99;134,33;5,51;10,55;150,39;3;0;146;146
NOR;Norway;2014;7,22;16,77;21,05;45,04;128,09;4,92;10,73;143,74;3;0;148;148
NOR;Norway;2015;6,52;15,54;21,54;43,6;125,28;4,87;9,68;139,83;3;0;150;150
NOR;Norway;2016;6,53;14,56;21,11;42,2;116,63;5,23;8,83;130,69;3;0;152;152
NOR;Norway;2017;6,04;13,15;19,14;38,33;112,43;5,3;8,54;126,27;3;0;154;154
NOR;Norway;2018;7,04;14,83;19,5;41,37;111,23;5,2;7,98;124,41;3;0;156;156
NOR;Norway;2019;6,45;13,63;19,42;39,5;109,23;5,4;8,11;122,74;3;0;158;158
POL;Poland;2010;29,42;37,05;17,92;84,39;335,6;10,58;24,22;370,4;146;0;11;11
POL;Poland;2011;26,87;34,38;17,29;78,54;317,68;10,91;23,6;352,19;150;0;13;13
POL;Poland;2012;25,45;33,19;17,03;75,67;323,69;9,71;23,27;356,67;145;0;17;17
POL;Poland;2013;24,48;32,99;16,83;74,3;315,02;11,43;22,47;348,92;147;0;17;17
POL;Poland;2014;24,82;34,52;16,71;76,05;292,37;9,38;21,59;323,34;139;0;20;20
POL;Poland;2015;23,3;32,83;16,5;72,63;302,49;10,86;21,35;334,7;142;0;23;23
POL;Poland;2016;22,4;31,04;16,37;69,81;272,92;10,94;19,98;303,84;143;0;23;23
POL;Poland;2017;22,87;31,74;16,22;70,83;263,16;10,78;18,86;292,8;146;0;24;24
POL;Poland;2018;23,28;32,18;16,16;71,62;256,29;12,18;18,18;286,65;148;0;22;22
POL;Poland;2019;18,73;26,37;14,61;59,71;247,58;12,2;16,87;276,65;138;0;25;25
PRT;Portugal;2010;8,05;24,17;21,38;53,6;169,25;7,13;12,46;188,84;25;0;28;28
PRT;Portugal;2011;7,93;23,35;19,35;50,63;151,93;7,5;13,28;172,71;28;0;24;24
PRT;Portugal;2012;7,23;22,73;16,33;46,29;152,32;6,09;12,73;171,14;26;0;19;19
PRT;Portugal;2013;6,38;20,35;14,87;41,6;143,9;6,75;13,76;164,41;21;0;29;29
PRT;Portugal;2014;7,62;18,33;12,99;38,94;147,02;7,05;12,71;166,78;20;0;32;32
PRT;Portugal;2015;9,85;20,25;15,91;46,01;143,6;6,7;12,51;162,81;27;0;24;24
PRT;Portugal;2016;7,2;17,98;14,72;39,9;141,9;8,35;12,59;162,84;27;0;32;32
PRT;Portugal;2017;9,31;20,28;18,28;47,87;137,53;6,51;12,88;156,92;35;0;23;23
PRT;Portugal;2018;7,86;17,94;18,09;43,89;136,06;7,03;11,99;155,08;29;0;29;29
PRT;Portugal;2019;6,55;17,43;16,27;40,25;132,54;7,34;12,03;151,91;24;0;28;28
ROU;Romania;2010;15,78;25,58;21,23;62,59;539,76;23,48;23,2;586,44;29;12;20;32
ROU;Romania;2011;15,92;25,3;21,19;62,41;511,28;22,28;22,98;556,54;34;12;16;28
ROU;Romania;2012;16,02;24,82;20,83;61,67;500,41;23,03;23,44;546,88;32;11;15;26
ROU;Romania;2013;16,05;24,58;20,75;61,38;470,18;21,44;22,7;514,32;27;12;20;32
ROU;Romania;2014;14,5;22,85;17,03;54,38;463,05;21,8;23,18;508,03;26;12;27;39
ROU;Romania;2015;16,77;24,48;16,3;57,55;467,23;23,14;22,71;513,08;28;12;26;38
ROU;Romania;2016;16,23;22,27;18,62;57,12;447,5;23,55;22,22;493,27;26;11;27;38
ROU;Romania;2017;19,14;24,53;18,98;62,65;444,19;23,48;21,73;489,4;28;12;24;36
ROU;Romania;2018;18,27;24,49;20,11;62,87;436,41;25,84;21,14;483,39;27;11;26;37
ROU;Romania;2019;15,96;23,48;21,21;60,65;418,06;27,69;19,92;465,67;23;11;25;36
